AlgaeGroup,OrganismCode,FinalID,AlgaeList,Habit,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,OxygenRequirements,Salinity,Saprobity,TaxonomicGroup,TrophicState,Zygnemataceae,Phylum,Class,Order,Family,Genus
SoftAlgae,-2147352329,Lemanea cf fluviatilis,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RD,NA,No,Rhodophyta,Florideophyceae,Batrachospermales,Lemaneaceae,Lemanea
SoftAlgae,-2147166255,Scenedesmus cf armatus,SoftAlgae_2012,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
Diatom,-2143502483,Encyonema elginense,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,Heterokontophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
SoftAlgae,-2143243028,Nostoc sp 2,SoftAlgae_2012,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Nostoc
SoftAlgae,-2142951385,Aphanocapsa cf incerta,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa
SoftAlgae,-2142595811,Phormidium sp 4,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium
SoftAlgae,-2140017388,Aphanothece minutissima,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece
Diatom,-2139044628,Diploneis puella,Diatom_2012,BN,NA,NA,NA,NA,NA,high,MM,NALON,DO_100,FB,OS,NA,M,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis
SoftAlgae,-2132250835,Phormidium cf cortianum,SoftAlgae_2012,NA,No,NI,NI,NI,NI,high,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,Phormidium
SoftAlgae,-2129180367,Ulothrix zonata,SoftAlgae_2012,NA,No,NI,low,RF,NI,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Ulothrix
Diatom,-2128820155,Pinnularia hemiptera,Diatom_2012,BN,NA,NA,NA,NA,NA,NA,MM,NA,DO_100,F,OS,NA,O,NA,Heterokontophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia
SoftAlgae,-2127209144,Scenedesmus sp 4,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus
SoftAlgae,-2126476407,Spirogyra sp 111,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CA,NA,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra
SoftAlgae,-2124942943,Leptolyngbya cf tenuis,SoftAlgae_2012,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya
Diatom,-2123719044,Synedra rumpens,Diatom_2012,BN,NA,NA,NA,NA,NA,low,NM,NA,NA,FB,NA,NA,OM,NA,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Synedra
SoftAlgae,-2123501451,Brachynema sp 1,SoftAlgae_2012,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CB,NA,No,Cyanobacteria,Cyanophyceae,Chroococcales,Hyellaceae,Brachynema
SoftAlgae,-2123100123,Chlorophyta 11,SoftAlgae_2012,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,CL,NA,No,Chlorophyta,,,,
